Asset,Model,RMSE,MAE
NVDA,Standalone LSTM,0.004055353281890405,0.0027233420368720034
NVDA,GARCH-LSTM Hybrid,0.004291404126890744,0.002966006731216264
USO,Standalone LSTM,0.005970280551786079,0.004094267531813816
USO,GARCH-LSTM Hybrid,0.005335774752846831,0.0037338951592092644
EGX,Standalone LSTM,0.002502377726728674,0.0012619125253310042
EGX,GARCH-LSTM Hybrid,0.0019142703780259855,0.0013077752780724973
